tweet_id,tweet_text,polarity
25,"RT @uppuSSinghh: State BJP Unit of Uttar Pradesh is constantly showing arrogance to PM Modi.

They should not forget that they got 325 seat…",neutral
26,"RT @Sanginamby: Aditya Yoginath
Dolan Trump
Shucking water from wind
Cloud cover
Gutter gas
No climate change, WE change
50 days of demonet…",neutral
27,"RT @MrSinha_: *Justice Indira Banerjee*
-When a BJP supporter made a meme on Mamata Banerjee : Person should apologize, it's  a serious iss…",neutral
28,RT @_sarthakb_108: I cant Express Myself that how Rahul ji played a very big role in Wiping out Congress from IND &amp; Helping BJP on Each &amp; E…,positive
29,"RT @Nher_who: BJP came to power criticizing Petrol hike, Black Money and Inflation

Today petrol touched 100, Funds in Swiss bank highest i…",negative
30,"RT @SAHILKILLEDAR5: These godis will not deserve 4th pillar of Indian.
These are unofficial spoke person channels of snaghi rss and bjp ..…",positive
31,RT @diamond__jatt: I think retweet is better than like. #BJP_DefamingFarmers https://t.co/yVMIppEjTt,positive
32,RT @raizada55: People who haven't lived a single day in U.P. are now giving lectures to Traditionalists on how bad Yogi is and how BJP shou…,negative
33,RT @OpIndia_com: Andhra Pradesh: BJP leaders arrested for protesting against installation of Tipu Sultan statue by by YSRCP MLA after deman…,positive
34,"RT @uppuSSinghh: State BJP Unit of Uttar Pradesh is constantly showing arrogance to PM Modi.

They should not forget that they got 325 seat…",neutral
35,"RT @AbhishBanerj: Can you Imagine!

Supreme Court judge Indira Banerjee, who is from Kolkata, recuses herself from hearing plea filed by ki…",negative
36,"RT @bainjal: Exclusive: BJP mayor’s kin bought land for 20 lakh, sold to temple trust for 2.5 crore https://t.co/E2jS4hxn4x  Wah Bjp Wah",negative
37,"RT @SukhdevSingh_: Protesting farmers were defamed continuously calling them fake farmers , terrorist  ,  naxalites and so on by the the BJ…",negative
38,RT @1Kuldeep2: @Waheguru5486 They ask not merger handouts for their vote or credit leading to debt and suicides. They ask for a fair price…,positive
39,"RT @uppuSSinghh: PM Modi’s close aide AK Sharma appointed as UP BJP Vice President.

Happy to see PM Modi not depending on local &amp; organisa…",positive
40,"RT @skt_Bharatwasi: Criticize Modi, BJP or BJP followers or their supporters if you don't like them. 

Don't normalise people using the wor…",neutral
41,RT @punjabisath1: BJP Defaming farmers #BJP_DefamingFarmers https://t.co/SANcRRAAWL,positive
42,"RT @Voice4Indians: BJP Minister ram das Athawale wishing Rahul Gandhi on his birthday
Full video link in bio
Go and watch🙏
Please subscribe…",positive
43,"RT @uppuSSinghh: State BJP Unit of Uttar Pradesh is constantly showing arrogance to PM Modi.

They should not forget that they got 325 seat…",neutral
44,"RT @AbhishBanerj: Can you Imagine!

Supreme Court judge Indira Banerjee, who is from Kolkata, recuses herself from hearing plea filed by ki…",negative
45,RT @rohini_sgh: Property dealer and BJP’s Ayodhya mayor’s nephew bought land for Rs 20 lakhs and sold it to the Ram Mandir trust for Rs 2.5…,negative
46,RT @Kannadanammamma: MODI Vs YOGI is a fiction enacted in UP by @BJP4India to fool people and turn Anti incumbency of BJP govt to Anti Incu…,neutral
47,"RT @Md_Zaid_SDPI: These godi's will not deserve 4th pillar of Indian...
These are Unofficial spoke person channels of Sanghi's Rss and Bjp.…",positive
48,"RT @AgentSaffron: Karnataka BJP government could make both google and amazon apologize.

It just needs willpower. https://t.co/O0o06aBvvy",neutral
49,@Sanjay_Dixit @ThePrintIndia So that they can contribute to Ghazwa e hind...BJP turning to be more dangerous,positive
50,RT @Kisanektamorcha: Ovr 7 months of farmers' movement; still no action hs been taken against all the wrongdoings &amp; disgrace farmers faced…,positive
51,RT @raizada55: People who haven't lived a single day in U.P. are now giving lectures to Traditionalists on how bad Yogi is and how BJP shou…,negative
52,RT @FutureWorldCen: #LiberalHypocrisy #Dhaka Right from rightly guided 1st #Calif Abu Bakr’s acts on Ahl al-Bayt to making of #SonarBangla…,positive
53,RT @AnshumanSail: Maharashtra : Former Minister and BJP MLA Dr. Sunil Deshmukh joined Congress in the state today. Former NCP MLA Sh. Dilip…,positive
54,RT @AgentSaffron: Yogiji was only BJP CM who openly came out in support of Sabarimala traditions during the time the controversy erupted.…,negative
55,"RT @Savekisaan: Unity is our strength 

#BJP_DefamingFarmers https://t.co/9jdg4JzbfY",negative
56,"@Ruchhan @LeherSethi 🤣🤣🤣🤣 Followed by @KapilMishra_IND !!

Sorry state of bjp leadership!!",negative
57,"RT @bainjal: Exclusive: BJP mayor’s kin bought land for 20 lakh, sold to temple trust for 2.5 crore https://t.co/E2jS4hxn4x  Wah Bjp Wah",negative
58,"@ANI Pardon me, I don't understand the difference here. BJP has the majority in both houses directly and indirectly… https://t.co/k65MfoYDg8",neutral
59,"RT @davinder_7: BJP total failure in terms of development,  inflation , corruption even medical field during Corona.   No good administrati…",negative
60,"RT @uppuSSinghh: State BJP Unit of Uttar Pradesh is constantly showing arrogance to PM Modi.

They should not forget that they got 325 seat…",neutral
61,RT @thakkar_sameet: Merit list of 50 candidates selected for the post of sub-inspector by West Bengal Police Recruitment Board. Each and ev…,neutral
62,"RT @Bhinda_84: BJP Defaming Farmers
#BJP_DefamingFarmers",positive
63,"RT @Najeebu69418876: These godi's will not deserve 4th pillar of Indian...
These are Unofficial spoke person channels of Sanghi's Rss and B…",positive
64,"RT @MrSinha_: *Justice Indira Banerjee*
-When a BJP supporter made a meme on Mamata Banerjee : Person should apologize, it's  a serious iss…",neutral
65,RT @raizada55: People who haven't lived a single day in U.P. are now giving lectures to Traditionalists on how bad Yogi is and how BJP shou…,negative
66,"RT @RituRathaur: Pic1: SC when it's Prashant Kanojia

Pic 2:. SC when it's BJP karyakarta Priyanka

Gazab! https://t.co/F0G4stxuKT",positive
67,"RT @advmonikaarora: Terror unleashed on those who joined BJP:
-Houses vandalised
Men killed
Women sexually assaulted Became refugees.
-Now…",positive
68,"RT @MdShafi_SDPI: Reject the communal politics of BJP
#TnAssemblyResoluteAgainstCAA",positive
69,RT @ANINewsUP: Uttar Pradesh BJP appoints MLC AK Sharma as vice president of the party's state unit,negative
70,RT @Kisanektamorcha: Ovr 7 months of farmers' movement; still no action hs been taken against all the wrongdoings &amp; disgrace farmers faced…,positive
71,RT @CPIM_WESTBENGAL: The @cituhq has vehemently condemned the destructive decision of the BJP Govt to corporatise the Ordnance Factories fu…,neutral
72,"RT @rohanduaT02: BRK:Day of hectic political activity in UP

Top Rahul Gandhi aide @JitinPrasada who recently joined BJP meets UP CM @myogi…",positive
73,RT @rohini_sgh: Property dealer and BJP’s Ayodhya mayor’s nephew bought land for Rs 20 lakhs and sold it to the Ram Mandir trust for Rs 2.5…,negative
74,"RT @barandbench: Justice Sanjiv Khanna points out that in light of the elections and the Priyanka Sharma being affiliated to the BJP, the o…",neutral
75,"RT @PSGrewal2: I would say Indians in general are defaming farmers

There doesn't seem to be much sympathy for these farmers who have been…",negative
76,RT @mohamme55139336: @AsianetNewsSN @News18Kannada @TimesNow These Media houses are working as the Spokesperson of BJP.They spread fake age…,positive
77,RT @MnshaP: Nephew of Ayodhya mayor bought prime land near temple complex for Rs 20 lakh &amp; sold it to Ram Janmabhoomi Trust for Rs 2.5 cror…,negative
78,"RT @SaralPatel: Kauravas were powerful &amp; arrogant. 
Pandavas were humble &amp; fought for the truth. Like the Kauravas the BJP &amp; the RSS are de…",neutral
79,"RT @harpal900: Good morning to everyone 
No Farmer No Food 
Support farmers 
#BJP_DefamingFarmers 
#FarmersProtest",negative
80,"RT @DombivaliMe: Life in 𝗧𝗵𝗲 𝗖𝗼𝘂𝗻𝘁𝗿𝘆 is Only From 𝗙𝗮𝗿𝗺𝗲𝗿𝘀 Without Them The 𝗖𝗼𝘂𝗻𝘁𝗿𝘆 is 𝗟𝗶𝗳𝗲𝗹𝗲𝘀𝘀‼

#करो_आगाज_किसान_राज 
#BJP_DefamingFarmers…",positive
81,"RT @MrSinha_: *Justice Indira Banerjee*
-When a BJP supporter made a meme on Mamata Banerjee : Person should apologize, it's  a serious iss…",neutral
82,"RT @AbhishBanerj: Can you Imagine!

Supreme Court judge Indira Banerjee, who is from Kolkata, recuses herself from hearing plea filed by ki…",negative
83,RT @AnshumanSail: Maharashtra : Former Minister and BJP MLA Dr. Sunil Deshmukh joined Congress in the state today. Former NCP MLA Sh. Dilip…,positive
84,"RT @YashwantSinha: First, it was wrong of Justice Chanda to attend a BJP party function. Second, it is wrong on his part to hear the case f…",negative
85,RT @AnshumanSail: Maharashtra : Former Minister and BJP MLA Dr. Sunil Deshmukh joined Congress in the state today. Former NCP MLA Sh. Dilip…,positive
86,"RT @RituRathaur: Pic1: SC when it's Prashant Kanojia

Pic 2:. SC when it's BJP karyakarta Priyanka

Gazab! https://t.co/F0G4stxuKT",positive
87,RT @afsarkodlipet: Playing CAA politics in the midst of utter failure in pandemic calamity is disversanery play of Modi government...Don't…,negative
88,"RT @Sunil_Deodhar: In Tripura, 70yr rule of @INCIndia-@cpimspeak, instead of empowering Tribals, created disharmony between Tribals-Non Tri…",negative
89,RT @Kisanektamorcha: Ovr 7 months of farmers' movement; still no action hs been taken against all the wrongdoings &amp; disgrace farmers faced…,positive
90,RT @rohini_sgh: Property dealer and BJP’s Ayodhya mayor’s nephew bought land for Rs 20 lakhs and sold it to the Ram Mandir trust for Rs 2.5…,negative
91,RT @Kisanektamorcha: Since the start of #FarmersProtest govt. has been adopting ways to defame the farmers &amp; also unnecessarily targeting t…,negative
92,"RT @narendramodi177: Rahul Gandhi Is India's Best Leader

Rahul Gandhi Is Most Fav Politician

Rahul Gandhi Is Our Inspiration

Rahul Gandh…",positive
93,RT @UnSubtleDesi: Andhra Pradesh: BJP leaders arrested for protesting against installation of Tipu Sultan statue by by YSRCP MLA after dema…,positive
94,"Our Stipend Our Right
#HyundaiALCAZAR #WTC2021 #IndiaVsNewZealand #Gill #पप्पू_दिवस #BJP_DefamingFarmers… https://t.co/qNm7AjYk5z",negative
95,RT @navneetkaursoh3: Farming is not our profession its our HERITAGE  #BJP_DefamingFarmers https://t.co/jsCV8Asnhx,positive
96,"RT @Veer09Rudra: This debate featuring Gaurav Bhatia of BJP, Pawan Khera of Cong, left Rajdeep Sardesai red faced, floored n totally at a l…",positive
97,"RT @advmonikaarora: Terror unleashed on those who joined BJP:
-Houses vandalised
Men killed
Women sexually assaulted Became refugees.
-Now…",positive
98,RT @MdToush0786: We have seen this kind of arrogance from 2014 from modi till the least BJP leader #HappyBirthdayRahulGandhi https://t.co/z…,negative
99,RT @rohini_sgh: Property dealer and BJP’s Ayodhya mayor’s nephew bought land for Rs 20 lakhs and sold it to the Ram Mandir trust for Rs 2.5…,negative
100,"RT @Sunil_Deodhar: In Tripura, 70yr rule of @INCIndia-@cpimspeak, instead of empowering Tribals, created disharmony between Tribals-Non Tri…",negative
